year month day hour kwh cumulated_kwh
2015 2 9 5 56 874805
2015 2 9 6 47 874852
2015 2 9 7 43 874895
2015 2 9 8 40 874935
2015 2 9 9 39 874974
2015 2 9 10 38 875012
2015 2 9 11 38 875050
2015 2 9 12 35 875085
2015 2 9 13 34 875119
2015 2 9 14 31 875150
2015 2 9 15 28 875178
2015 2 9 16 27 875205
2015 2 9 17 27 875232
2015 2 9 18 21 875253
2015 2 9 19 18 875271
2015 2 9 20 18 875289
2015 2 9 21 13 875302
2015 2 9 22 13 875315
2015 2 9 23 12 875327
2015 2 10 0 9 875336
2015 2 10 1 7 875343
2015 2 10 2 5 875348
2015 2 10 3 4 875352
2015 2 10 4 6 875358
2015 2 10 5 5 875363
2015 2 10 6 6 875369
2015 2 10 7 7 875376
2015 2 10 8 6 875382
2015 2 10 9 8 875390
2015 2 10 10 6 875396
2015 2 10 11 5 875401
2015 2 10 12 5 875406
2015 2 10 13 4 875410
2015 2 10 14 4 875414
2015 2 10 15 3 875417
2015 2 10 16 4 875421
2015 2 10 17 2 875423
2015 2 10 18 2 875425
2015 2 10 19 3 875428
2015 2 10 20 2 875430
2015 2 10 21 4 875434
